Unnamed: 0	User ID	Date Created	Number of Likes	Source of Tweet	Tweet	Cleaned Tweet
52		2024-12-31 06:40:17+00:00	0		"RT @MadridUniversal: Winning the Club World Cup is one of Real Madrid's priority this season.

They see the tournament as a great opportuniâ€¦"	"RT  Winning the Club World Cup is one of Real Madrids priority this season

They see the tournament as a great opportuni"
53		2024-12-31 06:38:42+00:00	0		RT @BarackObama: Congrats to Argentina and to the GOAT, Lionel Messi, for an amazing World Cup victory.	RT  Congrats to Argentina and to the GOAT Lionel Messi for an amazing World Cup victory
54		2024-12-31 06:37:37+00:00	0		"RT @MadridUniversal: Winning the Club World Cup is one of Real Madrid's priority this season.

They see the tournament as a great opportuniâ€¦"	"RT  Winning the Club World Cup is one of Real Madrids priority this season

They see the tournament as a great opportuni"
55		2024-12-31 06:37:21+00:00	0		"@raj_praty @rajutrueindian @sherryontopp @patcummins30 @SunRisers Any thoughts about whether King Kohli should be dropped from the IPL for making physical contact during a test match? 

We will sit here with our WTC and World Cup and be happy"	"Any thoughts about whether King Kohli should be dropped from the IPL for making physical contact during a test match 

We will sit here with our WTC and World Cup and be happy"
56		2024-12-31 06:37:11+00:00	0		RT @BarackObama: Congrats to Argentina and to the GOAT, Lionel Messi, for an amazing World Cup victory.	RT  Congrats to Argentina and to the GOAT Lionel Messi for an amazing World Cup victory
57		2024-12-31 06:36:24+00:00	0		"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! ğŸ‰ğŸ”´

ğŸ† 13 Premier League titles
ğŸ† 2 Champions League titles
ğŸ† 5â€¦"	"RT  Happy Birthday to Sir Alex Ferguson who turns 83 today 

 13 Premier League titles
 2 Champions League titles
 5"
58		2024-12-31 06:35:30+00:00	0		"RT @AmorimBalll_: Happy birthday to the GREATEST MANAGER of all time, Sir Alex Ferguson!â¤ï¸ğŸ´ó §ó ¢ó ³ó £ó ´ó ¿

ğŸ† Premier League: 13
ğŸ† Champions League:â€¦"	"RT  Happy birthday to the GREATEST MANAGER of all time Sir Alex Ferguson

 Premier League 13
 Champions League"
59		2024-12-31 06:35:27+00:00	0		"RT @AmorimBalll_: Happy birthday to the GREATEST MANAGER of all time, Sir Alex Ferguson!â¤ï¸ğŸ´ó §ó ¢ó ³ó £ó ´ó ¿

ğŸ† Premier League: 13
ğŸ† Champions League:â€¦"	"RT  Happy birthday to the GREATEST MANAGER of all time Sir Alex Ferguson

 Premier League 13
 Champions League"
60		2024-12-31 06:35:04+00:00	0		"RT @AmorimBalll_: Happy birthday to the GREATEST MANAGER of all time, Sir Alex Ferguson!â¤ï¸ğŸ´ó §ó ¢ó ³ó £ó ´ó ¿

ğŸ† Premier League: 13
ğŸ† Champions League:â€¦"	"RT  Happy birthday to the GREATEST MANAGER of all time Sir Alex Ferguson

 Premier League 13
 Champions League"
61		2024-12-31 06:34:18+00:00	0		@wutube When South Africa complained about the system, nobody listened. It is so sad that this is what it took to wake the BCCI and Cricket Australia up. It's almost as tragic as India preparing a dodgy pitch for the World Cup final against AUS, only for it to backfire against them.	When South Africa complained about the system nobody listened It is so sad that this is what it took to wake the BCCI and Cricket Australia up Its almost as tragic as India preparing a dodgy pitch for the World Cup final against AUS only for it to backfire against them
62		2024-12-31 06:33:54+00:00	0		"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! ğŸ‰ğŸ´ó §ó ¢ó ³ó £ó ´ó ¿

ğŸ† Premier League: 13
ğŸ† Championsâ€¦"	"RT  Happy birthday to the one and only Sir Alex Ferguson who turns 83 today 

 Premier League 13
 Champions"
63		2024-12-31 06:33:53+00:00	0		"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! ğŸ‰ğŸ”´

ğŸ† 13 Premier League titles
ğŸ† 2 Champions League titles
ğŸ† 5â€¦"	"RT  Happy Birthday to Sir Alex Ferguson who turns 83 today 

 13 Premier League titles
 2 Champions League titles
 5"
64		2024-12-31 06:31:50+00:00	0		"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! ğŸ‰ğŸ”´

ğŸ† 13 Premier League titles
ğŸ† 2 Champions League titles
ğŸ† 5â€¦"	"RT  Happy Birthday to Sir Alex Ferguson who turns 83 today 

 13 Premier League titles
 2 Champions League titles
 5"
65		2024-12-31 06:31:35+00:00	0		"RT @TheBarmyArmy: - 12,972 runs in Tests
- Most runs for England in Tests
- 36 Test hundreds
- 50.87 Average in Tests
- 6,522 runs in ODIsâ€¦"	"RT   12972 runs in Tests
 Most runs for England in Tests
 36 Test hundreds
 5087 Average in Tests
 6522 runs in ODIs"
66		2024-12-31 06:31:24+00:00	0		"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! ğŸ‰ğŸ´ó §ó ¢ó ³ó £ó ´ó ¿

ğŸ† Premier League: 13
ğŸ† Championsâ€¦"	"RT  Happy birthday to the one and only Sir Alex Ferguson who turns 83 today 

 Premier League 13
 Champions"
67		2024-12-31 06:31:19+00:00	55		"Winning the Club World Cup is one of Real Madrid's priority this season.

They see the tournament as a great opportunity to penetrate the USA market.

â€” @marca https://t.co/4ORmlk8qPv"	"Winning the Club World Cup is one of Real Madrids priority this season

They see the tournament as a great opportunity to penetrate the USA market"
68		2024-12-31 06:31:13+00:00	0		"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! ğŸ‰ğŸ”´

ğŸ† 13 Premier League titles
ğŸ† 2 Champions League titles
ğŸ† 5â€¦"	"RT  Happy Birthday to Sir Alex Ferguson who turns 83 today 

 13 Premier League titles
 2 Champions League titles
 5"
69		2024-12-31 06:30:43+00:00	0		"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! ğŸ‰ğŸ”´

ğŸ† 13 Premier League titles
ğŸ† 2 Champions League titles
ğŸ† 5â€¦"	"RT  Happy Birthday to Sir Alex Ferguson who turns 83 today 

 13 Premier League titles
 2 Champions League titles
 5"
70		2024-12-31 06:30:10+00:00	0		"Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! ğŸ‰ğŸ´ó §ó ¢ó ³ó £ó ´ó ¿

ğŸ† Premier League: 13
ğŸ† Champions League: 2
ğŸ† FA Cup: 5
ğŸ† League Cup: 4
ğŸ† Club World Cup: 1

The GOAT manager? ğŸ https://t.co/hhdI2HOGFQ"	"Happy birthday to the one and only Sir Alex Ferguson who turns 83 today 

 Premier League 13
 Champions League 2
 FA Cup 5
 League Cup 4
 Club World Cup 1

The GOAT manager"
71		2024-12-31 06:30:00+00:00	0		"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! ğŸ‰ğŸ´ó §ó ¢ó ³ó £ó ´ó ¿

ğŸ† Premier League: 13
ğŸ† Championsâ€¦"	"RT  Happy birthday to the one and only Sir Alex Ferguson who turns 83 today 

 Premier League 13
 Champions"
72		2024-12-31 06:29:45+00:00	0		"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! ğŸ‰ğŸ”´

ğŸ† 13 Premier League titles
ğŸ† 2 Champions League titles
ğŸ† 5â€¦"	"RT  Happy Birthday to Sir Alex Ferguson who turns 83 today 

 13 Premier League titles
 2 Champions League titles
 5"
73		2024-12-31 06:29:41+00:00	0		"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! ğŸ‰ğŸ´ó §ó ¢ó ³ó £ó ´ó ¿

ğŸ† Premier League: 13
ğŸ† Championsâ€¦"	"RT  Happy birthday to the one and only Sir Alex Ferguson who turns 83 today 

 Premier League 13
 Champions"
74		2024-12-31 06:28:32+00:00	0		"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! ğŸ‰ğŸ´ó §ó ¢ó ³ó £ó ´ó ¿

ğŸ† Premier League: 13
ğŸ† Championsâ€¦"	"RT  Happy birthday to the one and only Sir Alex Ferguson who turns 83 today 

 Premier League 13
 Champions"
75		2024-12-31 06:28:10+00:00	0		"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! ğŸ‰ğŸ”´

ğŸ† 13 Premier League titles
ğŸ† 2 Champions League titles
ğŸ† 5â€¦"	"RT  Happy Birthday to Sir Alex Ferguson who turns 83 today 

 13 Premier League titles
 2 Champions League titles
 5"
76		2024-12-31 06:27:21+00:00	0		"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! ğŸ‰ğŸ´ó §ó ¢ó ³ó £ó ´ó ¿

ğŸ† Premier League: 13
ğŸ† Championsâ€¦"	"RT  Happy birthday to the one and only Sir Alex Ferguson who turns 83 today 

 Premier League 13
 Champions"
77		2024-12-31 06:26:26+00:00	0		"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! ğŸ‰ğŸ´ó §ó ¢ó ³ó £ó ´ó ¿

ğŸ† Premier League: 13
ğŸ† Championsâ€¦"	"RT  Happy birthday to the one and only Sir Alex Ferguson who turns 83 today 

 Premier League 13
 Champions"
78		2024-12-31 06:26:12+00:00	0		"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! ğŸ‰ğŸ´ó §ó ¢ó ³ó £ó ´ó ¿

ğŸ† Premier League: 13
ğŸ† Championsâ€¦"	"RT  Happy birthday to the one and only Sir Alex Ferguson who turns 83 today 

 Premier League 13
 Champions"
79		2024-12-31 06:25:53+00:00	0		"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! ğŸ‰ğŸ”´

ğŸ† 13 Premier League titles
ğŸ† 2 Champions League titles
ğŸ† 5â€¦"	"RT  Happy Birthday to Sir Alex Ferguson who turns 83 today 

 13 Premier League titles
 2 Champions League titles
 5"
80		2024-12-31 06:25:39+00:00	0		"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! ğŸ‰ğŸ´ó §ó ¢ó ³ó £ó ´ó ¿

ğŸ† Premier League: 13
ğŸ† Championsâ€¦"	"RT  Happy birthday to the one and only Sir Alex Ferguson who turns 83 today 

 Premier League 13
 Champions"
81		2024-12-31 06:25:35+00:00	0		"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! ğŸ‰ğŸ”´

ğŸ† 13 Premier League titles
ğŸ† 2 Champions League titles
ğŸ† 5â€¦"	"RT  Happy Birthday to Sir Alex Ferguson who turns 83 today 

 13 Premier League titles
 2 Champions League titles
 5"
82		2024-12-31 06:25:32+00:00	0		Betting on the World Cup: Where your team either triumphs, or their defeat becomes your early Christmas gift to your bookie. Happy holidays, folks!	Betting on the World Cup Where your team either triumphs or their defeat becomes your early Christmas gift to your bookie Happy holidays folks
83		2024-12-31 06:25:30+00:00	0		"RT @mohan_sharker: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! ğŸ‰ğŸ´ó §ó ¢ó ³ó £ó ´ó ¿

ğŸ† Premier League: 13
ğŸ† Champions Leâ€¦"	"RT  Happy birthday to the one and only Sir Alex Ferguson who turns 83 today 

 Premier League 13
 Champions Le"
84		2024-12-31 06:25:27+00:00	0		"RT @AmorimBalll_: Happy birthday to the GREATEST MANAGER of all time, Sir Alex Ferguson!â¤ï¸ğŸ´ó §ó ¢ó ³ó £ó ´ó ¿

ğŸ† Premier League: 13
ğŸ† Champions League:â€¦"	"RT  Happy birthday to the GREATEST MANAGER of all time Sir Alex Ferguson

 Premier League 13
 Champions League"
85		2024-12-31 06:24:47+00:00	0		"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! ğŸ‰ğŸ”´

ğŸ† 13 Premier League titles
ğŸ† 2 Champions League titles
ğŸ† 5â€¦"	"RT  Happy Birthday to Sir Alex Ferguson who turns 83 today 

 13 Premier League titles
 2 Champions League titles
 5"
86		2024-12-31 06:24:21+00:00	2		"Happy Birthday to the greatest there ever was the greatest there ever is and the greatest there ever will be.

ğŸ† Premier League: 13
ğŸ† Champions League: 2
ğŸ† FA Cup: 5
ğŸ† League Cup: 4
ğŸ† Club World Cup: 1

Sir Alex Ferguson ğŸ https://t.co/YZwOA63VfK"	"Happy Birthday to the greatest there ever was the greatest there ever is and the greatest there ever will be

 Premier League 13
 Champions League 2
 FA Cup 5
 League Cup 4
 Club World Cup 1

Sir Alex Ferguson"
87		2024-12-31 06:24:18+00:00	0		"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! ğŸ‰ğŸ´ó §ó ¢ó ³ó £ó ´ó ¿

ğŸ† Premier League: 13
ğŸ† Championsâ€¦"	"RT  Happy birthday to the one and only Sir Alex Ferguson who turns 83 today 

 Premier League 13
 Champions"
88		2024-12-31 06:24:02+00:00	0		"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! ğŸ‰ğŸ´ó §ó ¢ó ³ó £ó ´ó ¿

ğŸ† Premier League: 13
ğŸ† Championsâ€¦"	"RT  Happy birthday to the one and only Sir Alex Ferguson who turns 83 today 

 Premier League 13
 Champions"
89		2024-12-31 06:23:54+00:00	0		"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! ğŸ‰ğŸ´ó §ó ¢ó ³ó £ó ´ó ¿

ğŸ† Premier League: 13
ğŸ† Championsâ€¦"	"RT  Happy birthday to the one and only Sir Alex Ferguson who turns 83 today 

 Premier League 13
 Champions"
90		2024-12-31 06:23:40+00:00	4		"Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! ğŸ‰ğŸ´ó §ó ¢ó ³ó £ó ´ó ¿

ğŸ† Premier League: 13
ğŸ† Champions League: 2
ğŸ† FA Cup: 5
ğŸ† League Cup: 4
ğŸ† Club World Cup: 1 https://t.co/gwGNutvLnh"	"Happy birthday to the one and only Sir Alex Ferguson who turns 83 today 

 Premier League 13
 Champions League 2
 FA Cup 5
 League Cup 4
 Club World Cup 1"
91		2024-12-31 06:23:37+00:00	0		"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! ğŸ‰ğŸ´ó §ó ¢ó ³ó £ó ´ó ¿

ğŸ† Premier League: 13
ğŸ† Championsâ€¦"	"RT  Happy birthday to the one and only Sir Alex Ferguson who turns 83 today 

 Premier League 13
 Champions"
92		2024-12-31 06:23:26+00:00	1		"Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! ğŸ‰ğŸ´ó §ó ¢ó ³ó £ó ´ó ¿

ğŸ† Premier League: 13
ğŸ† Champions League: 2
ğŸ† FA Cup: 5
ğŸ† League Cup: 4
ğŸ† Club World Cup: 1

The GOAT manager? ğŸ

| Wizkid | #verydarkman | Asake | De Gea | George W. Bush | Osun | Monday isâ€¦ https://t.co/iEbyNVDgam https://t.co/NQoG8XZ5Oc"	"Happy birthday to the one and only Sir Alex Ferguson who turns 83 today 

 Premier League 13
 Champions League 2
 FA Cup 5
 League Cup 4
 Club World Cup 1

The GOAT manager 

 Wizkid    Asake  De Gea  George W Bush  Osun  Monday is"
93		2024-12-31 06:22:48+00:00	0		"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! ğŸ‰ğŸ”´

ğŸ† 13 Premier League titles
ğŸ† 2 Champions League titles
ğŸ† 5â€¦"	"RT  Happy Birthday to Sir Alex Ferguson who turns 83 today 

 13 Premier League titles
 2 Champions League titles
 5"
94		2024-12-31 06:22:02+00:00	0		"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! ğŸ‰ğŸ´ó §ó ¢ó ³ó £ó ´ó ¿

ğŸ† Premier League: 13
ğŸ† Championsâ€¦"	"RT  Happy birthday to the one and only Sir Alex Ferguson who turns 83 today 

 Premier League 13
 Champions"
95		2024-12-31 06:21:48+00:00	0		"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! ğŸ‰ğŸ”´

ğŸ† 13 Premier League titles
ğŸ† 2 Champions League titles
ğŸ† 5â€¦"	"RT  Happy Birthday to Sir Alex Ferguson who turns 83 today 

 13 Premier League titles
 2 Champions League titles
 5"
96		2024-12-31 06:21:27+00:00	0		"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! ğŸ‰ğŸ´ó §ó ¢ó ³ó £ó ´ó ¿

ğŸ† Premier League: 13
ğŸ† Championsâ€¦"	"RT  Happy birthday to the one and only Sir Alex Ferguson who turns 83 today 

 Premier League 13
 Champions"
97		2024-12-31 06:20:52+00:00	0		"RT @Pun_Starr: Anyone who can answer these 3 questions correctly will get â‚¹15 lakh in 2025.

1. In which country is the Great Wall of Chinaâ€¦"	"RT  Anyone who can answer these 3 questions correctly will get 15 lakh in 2025

1 In which country is the Great Wall of China"
98		2024-12-31 06:20:37+00:00	0		"RT @sonuujjawal26: - T20I World Cup winner.
- Gold Medal in Asian Games.
- IPL Emerging Player award.
- Most runs for India in Tests in 202â€¦"	"RT   T20I World Cup winner
 Gold Medal in Asian Games
 IPL Emerging Player award
 Most runs for India in Tests in 202"
99		2024-12-31 06:19:07+00:00	0		"RT @AmorimBalll_: Happy birthday to the GREATEST MANAGER of all time, Sir Alex Ferguson!â¤ï¸ğŸ´ó §ó ¢ó ³ó £ó ´ó ¿

ğŸ† Premier League: 13
ğŸ† Champions League:â€¦"	"RT  Happy birthday to the GREATEST MANAGER of all time Sir Alex Ferguson

 Premier League 13
 Champions League"
